id,timestamp,ocr_text
1,1772879322286,W454TNM
2,1772879322726,454TNM
3,1772879323031,FOMETNM
4,1772879331088,LOOTINRNS
5,1772879331359,OOTINRI5
6,1772879334839,9584C15
7,1772879335160,EO584CUN5
1,1772880031900,IT454TNM
2,1772880032832,T45LTNM
3,1772880033554,ITCGLTNM
4,1772880042331,001NRP1S
5,1772880043122,AOOINR15
6,1772880047262,9S8AC115
7,1772880047980,9584C115
1,1772880133421,IT454TNM
2,1772880133992,T45LTNM
3,1772880134574,ITCGLTNM
1,1772880407204,454MNMT
2,1772880408270,451TNMT
3,1772880409382,
4,1772880418159,DTNRT5
5,1772880419290,001NR15
6,1772880423699,4C11151
7,1772880424677,8AC1115
8,1772880433127,
9,1772880433916,
11,1772880449421,
12,1772880450426,
13,1772880455572,
14,1772880456739,0892E15
15,1772880457909,32AK415
16,1772880477071,
17,1772880478387,
1,1772880917221,B82454TI
2,1772880917511,XL5LTNM
4,1772880923450,LNA15
3,1772880923208,O01NRISL
5,1772880926055,95842411
6,1772880926308,29584C11
7,1772880931183,
8,1772880931344,
9,1772880940134,OYMI5
10,1772880943179,
11,1772880943365,O892E15
12,1772880948355,DINRIS
13,1772880948817,400IJNR1
14,1772880952292,89584C11
15,1772880952623,95846W15
1,1772881468198,B82454TI
2,1772881468497,XL5LTNM
4,1772881479278,LNA15
3,1772881478963,O01NRISL
5,1772881482361,95842411
6,1772881482632,29584C11
4,1772882254912,B82454TI
5,1772882255229,XL5LTNM
11,1772882260927,001NRLS
16,1772882263519,9S8AC111
17,1772882268303,
18,1772882268478,
28,1772882277514,
32,1772882280556,
33,1772882280833,O892E15
35,1772882291329,
34,1772882291157,
14,1772882506306,59S8AC01
5,1772882738280,J4SLTNMI
6,1772882738621,XL5LTNM
5,1772882901037,J4SLTNMI
6,1772882901394,XL5LTNM
12,1772882910363,O01NRISL
13,1772882910686,400IJNR1
14,1772882914100,59S8AC01
19,1772882915576,95842411
20,1772882916077,95846W15
4,1772883210653,B82454TI
5,1772883210993,XL5LTNM
11,1772883216640,001NRLS
16,1772883219489,9S8AC111
17,1772883224226,
18,1772883224404,
28,1772883233434,
33,1772883236526,O892E15
32,1772883236331,
34,1772883246998,
4,1773139527820,B82454TI
5,1773139528091,XL5LTNM
11,1773139534494,001NRLS
16,1773139537297,9S8AC111
4,1773139623199,B82454TI
5,1773139623453,XL5LTNM
11,1773139628933,001NRLS
16,1773139631169,9S8AC111
4,1773139717386,B82454TI
5,1773139717695,XL5LTNM
11,1773139723580,001NRLS
16,1773139726529,9S8AC111
17,1773139731531,
18,1773139731853,
28,1773139740635,
32,1773139743541,
33,1773139743705,O892E15
4,1773140013920,454TNM
5,1773140014163,454TNM
11,1773140020486,
16,1773140023369,
17,1773140028397,
18,1773140028573,
28,1773140037942,
32,1773140041306,
33,1773140041541,
35,1773140052972,
34,1773140052764,
4,1773140157009,454TNM
5,1773140157221,454TNM
11,1773140164223,
16,1773140166946,
17,1773140171710,
18,1773140171870,
4,1773140426157,454TNM
5,1773140426462,454TNM
11,1773140433500,
16,1773140436733,
17,1773140442114,
18,1773140442268,
28,1773140451950,
32,1773140454981,
33,1773140455196,
34,1773140466107,
35,1773140466422,
5,1773140663619,
4,1773140663462,
11,1773140676494,
16,1773140680939,
4,1773140841046,
5,1773140841279,
11,1773140847140,
16,1773140849717,
4,1773141024261,
5,1773141024375,
8,1773141027843,
9,1773141027942,
13,1773141029336,
14,1773141029477,
15,1773141032538,
4,1773141171244,
5,1773141171342,
8,1773141174708,
9,1773141174833,
13,1773141176329,
14,1773141176446,
15,1773141179610,
24,1773141185198,
25,1773141185300,
29,1773141186897,
30,1773141187004,
4,1773141549127,
5,1773141549229,
8,1773141552619,
9,1773141552711,
13,1773141554129,
14,1773141554248,
15,1773141557234,
24,1773141562737,
25,1773141562839,
29,1773141564470,
30,1773141564624,
4,1773141775227,
5,1773141775406,
11,1773141780130,
16,1773141782108,
17,1773141785835,
18,1773141785929,
4,1773141854297,
5,1773141854452,
11,1773141858984,
16,1773141860999,
4,1773142172898,
5,1773142173071,
11,1773142177781,
16,1773142179814,
17,1773142183769,
18,1773142183903,
28,1773142215117,
32,1773142217338,
33,1773142217461,
4,1773142315892,
5,1773142316066,
11,1773142320724,
16,1773142322766,
17,1773142326641,
18,1773142326738,
28,1773142332582,
32,1773142334365,
33,1773142334445,
4,1773142699570,
5,1773142699719,
11,1773142704434,
16,1773142706503,
17,1773142710433,
18,1773142710525,
4,1773142822086,T454TNM
5,1773142822315,7454TNM
11,1773142827178,JOOTINRI5
16,1773142829256,95840475
17,1773142833294,
18,1773142833518,
28,1773142848493,0491
32,1773142850677,03944IN5
33,1773142850824,039ABII5
4,1773203549440,T454TNM
5,1773203549656,7454TNM
11,1773203553877,JOOTINRI5
16,1773203555772,9584C4N5
17,1773203559446,
18,1773203559617,
28,1773203566387,0491151
32,1773203568413,03944INS
33,1773203568567,039ABIN5
35,1773203588916,
34,1773203588623,LA
4,1773209142989,T454TNM
5,1773209143212,7454TNM
11,1773209148975,JOOTINRI5
16,1773209151620,9584C4N5
17,1773209156610,
18,1773209156816,
4,1773311304414,T454TNM
5,1773311304743,7454TNM
11,1773311311531,JOOTINRI5
16,1773311314253,9584C4N5
17,1773311364479,
18,1773311364645,
28,1773311374073,0491151
32,1773311376819,03944INS
33,1773311377072,039ABIN5
4,1773315754680,T454TNM
5,1773315754957,7454TNM
5,1774961428420,34NMI
4,1774961428204,
11,1774961433604,
16,1774961435892,G950351
4,1774961739450,T55LMNM
5,1774961739796,44TNM11
11,1774961745066,00ANRE5
16,1774961747483,R05845
4,1774961911870,T55LMNM
11,1774961917395,00ANRE5
16,1774961919881,R05845
33,1774961936299,0893R11
99991,1774964999999,T454TNM
14,1774965443670,T454TNM
15,1774965444332,T454TNMP0E
18,1774965447792,0011075
23,1774965449392,81
30,1774965450578,0011NR15
32,1774965451170,0011NR15
33,1774965451901,9580115
34,1774965452602,958AC1N5
41,1774965454244,958AC115
42,1774965454852,958AC115
49,1774965459739,718EXF
70,1774965467763,3A15
74,1774965468664,509A15
75,1774965468664,049115
85,1774965471946,089AR15
86,1774965472362,089AR15
87,1774965482410,075DR5
88,1774965482905,075
97,1774965484860,075AV5075AW15
98,1774965485830,075AVC0T5A5
100,1774965487074,075AV1
102,1774965492505,CM5
103,1774965492875,6236EA15
14,1774965514083,T454TNM
15,1774965514730,T454TNMP0E
18,1774965517936,0011075
23,1774965519476,81
30,1774965520627,0011NR15
32,1774965521238,0011NR15
33,1774965521944,9580115
34,1774965522663,958AC1N5
41,1774965524228,958AC115
42,1774965524790,958AC115
49,1774965529972,718EXF
14,1774966073087,T454TNM,0.963
15,1774966073628,T454TNMP0E,0.740
17,1774966076187,0010,0.637
18,1774966078573,0011075,0.727
